text,category
"The Case Against Adnan Syed review – Serial should not have been televised ‘Do love and remember me for ever,” Hae Min Lee writes in her diary. Hers is a grim fame. In early 1999, Lee was strangled and buried in a shallow grave in Baltimore. Two decades later, she continues to be the subject of what has become a true-crime franchise, brought to the world’s attention by the success of the podcast Serial. The Case Against Adnan Syed (Sky Atlantic) is the latest instalment in the story of her murder. Syed was a teenager when he was convicted of the murder of his ex-girlfriend in 2000, although he has always said he is innocent. Has The Case Against Adnan Syed got any more to add? Its makers say it does, “presenting new discoveries as well as groundbreaking revelations that challenge the state’s case”. But those are promised later in this four-part series. Much of the first episode, rightly, is focused on the young woman who has seemed incidental in the attempt to discover whether or not Syed has been the victim of a terrible miscarriage of justice. If you were gripped by Serial (I was), it’s quite a shock to see Lee on a video clip of a local news item, talking about her lacrosse team, very alive and human, and not just an off-stage player on online forums dedicated to this case. One friend describes her as “goofy”; another talks about her passion. There is something desperately sad about the gulf between the interviews with these grownup, self-aware women and the gauche journal entries of their friend who would never join them. Anyone who kept a diary as a teenager will recognise the heady drama – mortifying, years later – that can be created with the liberal use of exclamation marks and some scribbled hearts. Her words are brought to life with dreamy animated sequences. Lee and Syed are reimagined walking arm in arm through idyllic woodland. The picture that emerges is that age-old one of young lovers, kept apart by their families – in this case, their controlling, traditional, immigrant parents. Any hints that all may not have well between them – Lee writes about their breakup: “Apparently you don’t respect me enough to accept my decision” – are not interrogated. “Teenagers are all over the place,” says her friend. Lee is cast as a spirited young woman, constrained by the cultural expectations of her family. “That was her household and she didn’t really have a choice to exist outside of that,” remembers her friend Debbie. The (brief) examination of the heritage of Lee and Syed’s families – Korean and Pakistani – and what that means in the US, brings another layer to the story. It is skilfully created, and mostly empathetically told by the director Amy Berg. And yet it’s still uncomfortable to watch. Another potential “suspect” is raised – Don Clinedinst, Lee’s boyfriend at the time – essentially because his alibi came from his mother. “The failure to investigate Don more thoroughly just really stands out as a major mistake,” says one of the private investigators hired for the documentary. In a story with so many obsessive sleuths invested, it seems irresponsible for a TV show to swing such a spotlight on to people. “Most people don’t have the resources you do to track me down,” Clinedinst tells the filmmakers, which almost sounds like a challenge. On Reddit, there are already people posting: “This guy sounds guilty” (the series started in the US last month). Its sympathy for Syed is clear, which is not to say that it’s misplaced. But a more sceptical approach could have differentiated it from the podcast and been more enlightening. “My prayers are not just that Adnan is exonerated but that God brings the truth to light,” says lawyer and family friend, Rabia Chaudry, who is also a producer on this show (and the catalyst for Serial). She cannot conceive of a possibility that the truth may not result in Syed getting released. Syed had been granted a new trial, but a few weeks ago, that decision was reversed. One day we may know if he has been an innocent victim, and the worth of a documentary like this – and its promised discoveries, reportedly in episode four, if they go anywhere – might only be judged in hindsight. In the meantime, its retreading of old ground only adds to the confusion. For all its attempts to humanise Lee, her family remained unwilling to take part (they have always believed in Syed’s guilt). I don’t blame them for their reluctance. Was it necessary to show photographs of parts of their daughter’s body surfacing from the ground? There is the revelation that Lee told friends she had been sexually abused as a child, a detail that has no bearing on this case, unless the filmmakers are suggesting that this may have been a motive for her murder, though this is not revisited. Our apparently insatiable interest in this case comes at a cost to her family. We don’t forget Lee, but maybe they wish we would.",Television & radio
"'Give me another series, you swine!' This Time was the very best of Alan Partridge The most remarkable thing about Alan Partridge is that he wasn’t hard to invent. While making On the Hour, as the story goes, Armando Iannucci asked Steve Coogan to do a voice for a sports reporter. Coogan came out with the now familiar tampon-up-the-nose timbre and someone spontaneously said “he’s an Alan”, immediately followed by someone else concluding “he’s a Partridge”. From that moment on, Iannucci says, “we knew what his background was, how he felt about being a sports reporter, how he wanted to move on and be taken more seriously”. This is not what usually happens; to create a character that’s believable, consistent, original, funny, sympathetic and interesting is immensely difficult. Just ask Dan Brown. It takes hours of tortuous work, but Alan didn’t. Alan and his driving gloves were waiting to come out. They say truly great songs (say Cuddly Toy by Roachford) almost sound like you’ve heard them before, and it’s the same with great characters. There’s something awfully familiar about Alan Gordon Partridge. Everyone’s met an Alan. The father-in-law who criticises your choice of motorway. The train passenger who frowns at people speaking Spanish. The pub bore who complains about the prominence of Fiona Bruce. Alan Partridge perfectly encapsulates a particular type of Englishman. And, whether you like it or not, he also encapsulates a part of you. The laughter he generates is one of relief; it’s a there-but-for-the-grace-of-god involuntary exhale. In fact, to write for the character Iannucci has said he and the writers actually had to become Alan by doing his voice and riffing from there. There aren’t many characters where this would prove fruitful because for that to work, they have to be perfectly realised. Characters like that a rarer than Alan in a Mini Metro. Basil Fawlty, David Brent, Del Boy, Patsy Stone, Mark Corrigan perhaps, but not many others. Alan’s character is so clearly defined that you know exactly how he would act in any given situation. This is true to such an extraordinary degree that he can sustain two autobiographies. Not just sustain but elevate them, and particularly their audiobooks, into works of comic genius. Over the last few years the Gibbons brothers, who wrote the autobiographies, have injected new life into a character so old you can hear his knees. They’ve moved him on from the obnoxious little Englander of I’m Alan Partridge to the almost well intentioned dinosaur of This Time. Alan’s unexpected return to primetime has forced him to confront movements like #MeToo that previous Alans would have dismissed out of leather-gloved hand. His interaction in last week’s episode with Peter the “shaved boy in a wig” was full of intriguing subtext. The lingering, almost wistful, look Alan gives Peter as he leaves the stage is one of a number of similar incidents – as in the opening episode when Alan mutters “No, we mustn’t” to a hand washing expert in an Ishiguro-esque moment of thwarted passion – where we glimpse Alan’s rich inner life. More of the real Alan was on display in the finale, his conflict with co-host Jennie and the “stomping around like Carol Thatcher” jibe. The way the writers let us know moments later, when Jennie plays a recording, that Alan had already made another unflattering Carol Thatcher comparison is a stroke of brilliance. No writer worth their salt would ever repeat a joke like that unless the character demanded it. This tiny moment tells us a lot: the fact that he thinks these references are the height of sophisticated wit is pure Partridge. You can imagine Richard Madeley whipping out a similar zinger during an argument with Judy. The standout scene, however, was the chat with the sleep disorder consultant. The way it morphed from bum-scratching slapstick and Blair Witch stare to the quiet horror of “I could harm them but choose not to” is up there with the very best Partridge there has ever been. But perhaps the most impressive thing about this creation is his continued relevance. You only have to glance at the internet to see what a large part Alan still plays in contemporary culture. From the vital Accidental Partridge Twitter account to the endless Alan reaction gifs that punctuate conversations, he is there shrugging his way through public consciousness. Even on the biggest issue of the day he is a significant presence. Poking above the sea of humanity on the recent People’s Vote march was an indignant Alan Partridge next to an adapted version of his most famous line: “Give me another referendum, you shit.” He’d be furious.",Television & radio
"Arsenal go third after Aaron Ramsey and Alexandre Lacazette sink Newcastle It does not feel that long ago that Arsenal trailed Tottenham by 10 points. What a turnaround there has been. This was a hard-fought victory over a Newcastle team who made a game of it in the second half but, when the dust had settled, the table showed Unai Emery’s team had leapfrogged two points clear of Spurs and Manchester United into third place. Aaron Ramsey fired Arsenal into a deserved first-half lead and, although Newcastle pushed, they did not threaten Bernd Leno’s goal. Alexandre Lacazette made the points safe with a perfectly executed lob and it added up to a 10th league win in succession at the Emirates Stadium. Not since the 1997-98 title-winning season have Arsenal managed that. “Are you watching Tottenham?” sang the home support. Arsenal play five of their remaining seven games away from home where they have been far less impressive but right now the momentum in the top-four battle is with them. In terms of the broader picture in this first season under Emery, one detail screamed for attention. The club have made it to 63 points, which was their final tally under Arsène Wenger last time out. The sense of progress is plain. Rafael Benítez came to contain as he always does in away matches against the top teams. The plan worked in so far as Arsenal did not enjoy the volume of opportunities they might have hoped for. Up until Lacazette’s late goal Newcastle were still in it. There were murmurings of frustration from the Arsenal fans. The statistics showed Newcastle managed only one shot on target – from Salomón Rondón in the 32nd minute, which Leno saved with a measure of comfort at the near post. Despite pressing higher up the pitch after half-time they could not prise Arsenal apart. The final pass was routinely missing. Newcastle’s dismal recent record in London continues while Benítez has not won at the Emirates in eight attempts with various clubs. Emery talked up the collective, as usual. He was without the injured Laurent Koscielny and Granit Xhaka while Pierre-Emerick Aubameyang was fit enough only for the bench, having struggled with a high temperature. But the manager found the solutions, with Ramsey stepping up to wear the captain’s armband with distinction until he was forced off with cramp. The midfielder will be a loss when he joins Juventus in the summer. Aubameyang, meanwhile, came on as a substitute to create Lacazette’s goal. Benítez commented on how Emery could summon a £56m striker from the bench and what he left unsaid hung heavily in the air. He craves greater backing in the market from the Newcastle owner, Mike Ashley, so he might go toe to toe with the opposition on occasions such as these but there does not seem any prospect of that. And so Benítez plays the percentages; keeping men behind the ball, trying to get something on the break. Ramsey thought he had scored before he actually did. In the 13th minute he swept home at the far post after Sead Kolasinac had flicked on Mesut Özil’s corner only for the whistle to blow. The replays showed Sokratis Papastathopoulos had pulled back Florian Lejeune by the sleeve. File it under soft. Ramsey was not to be denied and he made his own luck for the breakthrough, passing to Lacazette and darting for the return. His teammate could not provide it but the ball broke off DeAndre Yedlin and fell to Ramsey, who threaded a low shot into the far corner. Arsenal were urged on by Emery’s manic preachings from the technical area and they went close to a second goal in first-half added time. The marauding Kolasinac crossed for Lacazette and, when he pivoted to shoot, Martin Dubravka was beaten. Matt Ritchie, however, headed off the line. Benítez asked his wide players, Ayoze Pérez and Miguel Almirón, to push a little higher in the second half, to get themselves closer to Rondón, and Newcastle gained a foothold. At 1-0 they knew one moment could change everything. It did not come. Aubameyang was denied by Dubravka but there was nothing the goalkeeper could do to keep out Lacazette, after Jamaal Lascelles had misjudged Aubameyang’s through header to the striker. Emery reflected on how Arsenal had risen from the depths. “We lost our first two matches of the season to Manchester City and Chelsea and so we started last,” he said. “Now we are third. Our target is very clear but we know it’s going to be very difficult. We now need to convince everybody we can be consistent away from home.”",Football
"Lyft stalls as shares slip below IPO price on second day of trading Shares in Lyft, the ridesharing company, stalled on Monday, falling below their initial public offering (IPO) on their second day of trading. Lyft became the first of a new wave of giant tech companies to go public last Friday, selling shares at $72 a piece. The hotly anticipated sale saw Lyft’s share price leap to $78.89 on the first day of trading. But on Monday, as US markets rose, Lyft’s shares dropped close to 12%, ending the day at $69.03. New stocks often experience sharp swings in their first days of trading and the fall could soon reverse. But Lyft’s peers will be watching nervously. Over the coming months companies including Lyft rival Uber, Airbnb, Pinterest, Slack and WeWork are all expected to join the markets. Many of these companies are heavily loss making. Lyft lost $911m last year, Uber lost $1.8bn. While they are fast growing, stock market investors have recently shown little patience for hot tech companies that do not have a clear path to profitability. “Falling below its IPO price is a gut punch for investors and Lyft,” Wedbush’s managing director, Dan Ives, told CNBC. “This is a pivotal few weeks of trading ahead to gauge Street demand for the name as valuation and profitability continue to be the wild cards for tech investors.”",Technology
"The Guardian view on Brexit votes: put nation before party It is a matter of national shame that the civil war in the Conservative party led to the United Kingdom voting to leave the European Union. That war continues today. The split is now between those who believe Britain needs a new partnership to maintain links with the EU, and those who think what’s required is a clean break. The level of ideological commitment to the latter idea might surprise many who consider the Tories the natural party of government. Supposedly a party of sceptics who distrust dogma, it has been torn by ideology over the course of much of its history. Theresa May has tried to keep both sides together with her Brexit deal. However, it has failed three times to convince enough of her own MPs, with resistance from both wings. Instead of seeing the referendum as a mistake to be ameliorated by wise counsel and sensible debate, many Conservatives have taken leave of their senses. There appears to be no limit to what the fanatics expect the rest of the world to do for Brexit Britain. In their world, nations will queue up to give us trading advantages and access to their markets, and abandon their instinct to protect their own industries in favour of the UK. This magical thinking has led Tory MPs to chase unicorns. A few think they have caught some. It is these delusions MPs were seeking to banish by voting on softer forms of Brexit; whether a confirmatory referendum was needed; and if revoking article 50 in the face of no-deal Brexit ought to be contemplated. None secured a majority on Monday night, though a customs union with the EU was only defeated by three votes. A plebiscite on the terms of departure missed by 12. Plainly there is a consensus waiting to be found. Mrs May remains boxed in by her own red lines and those of her hardliners. If she were to soften Brexit, she risks her colleagues not supporting her in a vote of confidence. If she does not, Mrs May faces the same threat from the majority in parliament who have already voted to prevent no deal. Mrs May may be tempted by self-interest for an early election. This would be a mistake, one that confuses party with nation. Those pushing Mrs May towards resolving Brexit at the ballot box see leaving the EU as a way of getting people to vote against their economic interests – a precondition for a Tory victory. About seven out of 10 Conservative MPs represent constituencies that voted to leave. Around six out of 10 Labour MPs represent leave constituencies. Some voters who delivered Brexit – especially left-leaning ones in poor areas – will suffer disproportionately from its policies. Yet the passion of Leave voters has intensified, lending Brexit a sour introspective nationalism. Culture wars could trump class wars. Hard Brexiters tap into this with the idea that leaving the EU could see a turbo-charged Thatcherism return. This would deliver a supply-side shock to the economy draped in populism and hostility towards Europe. It’s why they want Mrs May to act before the tyranny of the status quo sets in. A large section of the cabinet thinks nothing of putting ambition before nation. The flippant parochialism and narrow sectional interest of today’s Conservative party is quite breathtaking. It cannot be pretended that the tone of debate suggests that the Tory leadership is experiencing anything but its most self-absorbed hour. Appearing remote, self-interested and unaccountable is not a good look. That is why politicians must come together. The 2016 referendum vote needed to be interpreted in a meaningful way: with transformative policies to address what gave rise to it; a plan to deal with the harmful consequences of leaving the EU; and a device to underscore any Brexit deal’s democratic validity. Instead Brexit is becoming about partisanship and signalling values. The most damaging effect of entrenching a belief that government cannot make a difference is that it deserts those for whom it could to the whims of fantasists and ideologues.",Opinion
"Weatherwatch: UK could learn from Bermuda to avoid water shortages England could be facing chronic water shortages within 25 years, the Environment Agency warned recently. The problem stems from a growing population, leaking pipes from water companies, extravagant use of water by households and the growing threat from climate change. These problems are especially acute in the south-east, with low yearly rainfall and where there is actually less clean water per person than Sudan or Egypt. Bermuda has overcome its own water shortages by catching rainwater from roofs. Some 400 years ago the houses were built with steps on their sloping roofs to slow down the flow of rain. This helps stop the rain overwhelming the roof gutters before passing down into underground storage tanks. This ingenious arrangement makes the islanders self-sufficient in water, and also means they are acutely aware of how precious their water is and so go to great trouble to use it as efficiently as possible. The iconic stepped roofs of Bermuda are also painted white, reflecting the sunlight to help purify the water and also help keep the houses cooler. But as tourism has grown, the country has welcomed increasing numbers of visitors who are more extravagant with their water, so the island has resorted to desalination plants to supply extra clean water.",News
"Wiggling buttocks enliven existential hell of Brexit debate The people finally got to have their say on the government’s Brexit deal. In parliament, no less. And what they had to say was that they wanted to take almost all their kit off and protest against climate change instead. Time management. They probably reckoned there was more chance of the world’s politicians agreeing on plans to save the planet than anyone coming up with a Brexit solution that the government was prepared to implement. The protest began three-quarters of an hour into the latest iteration of the indicative vote process, aka IV2, with 12 men and women in the public gallery stripping down to their pants to reveal climate change slogans on bodies that were far from beach-ready. Well, almost all of them. One bloke either lost his bottle or suddenly realised he had come out dressed commando and chose to keep his trousers on. Spoilsport. Most rushed to the front and glued their hands to the glass barrier, while a woman, daubed in grey body paint and wearing a pair of elephant ears and trunk, indulged in some unusual interpretive dance. The police were called but didn’t seem entirely sure where to look. Or touch. So what followed was a very awkward, very British standoff. In its way, the perfect Brexit statement. The dirty dozen would occasionally self-consciously wiggle their bums and then stop, as if waiting for something to happen. Knowing how to end a protest is always much harder than starting one. The police initially appeared to just hope the men and women would get bored and wander off, but once they realised they were going to have to get hands-on, a few officers reluctantly rolled up their sleeves. First to be removed from the gallery was the elephant woman who got carried out horizontally while waving goodbye with her trunk. Eventually, just a man and a woman were left and officials were sent off to find some substance to remove the glue from their hands. That seemed to do the trick and, half an hour after it had begun, the protest was over. All that remained were a few stains on the glass. Twelve semi-naked men and women in their pants was rather more entertaining and no weirder than anything else that happens in parliament these days and a few MPs greeted the disturbance as a welcome distraction. Peter Kyle snarfed about a cheeky intervention, Justine Greening asked him to flesh things out while Nick Boles wondered if Bernard Jenkin was among the protesters. Bernie’s naturism – he’s a legend in his own lunchbox – is by far his cleanest and most endearing pastime. Anything to relieve the tedium. But mostly everyone in the chamber chose to keep their heads down and plod on. IV2 more closely resembled an IV drip of liquid valium with MPs mindlessly repeating what they had said in the first round of debates the previous Wednesday. There was little else they could do. Everything that could possibly be said about Brexit has long since been said. Again and again. The sense of Brexit being an endless loop in space-time is now inescapable. After insisting the prime minister was keen to work constructively with parliament, Andrea Leadsom went out of her to do precisely the opposite by saying that the government would be whipping against the business motion to allow further indicative votes. Time was now of the essence and it was up to the government to run down the clock by failing to get its own deal passed and not up to MPs to try to find some kind of consensus. Thereafter we just got stuck in an existential hell with MPs reduced to playing caricature versions of themselves. Edward Leigh merely suggested that now was not the time for the country to have a general election because the Conservatives would lose, while the Grand Wizard of Mogg himself chose to lecture the house on the meaning of shame. Having traded his principles for the party line and refused to take responsibility for retweeting far-right politicians, Jacob Rees-Mogg increasingly resembles the badly behaved prep school boy who has been found out by his peers and sent to the naughty step. Edward Leigh was Edward Leigh. That bad. Things did improve when the debate proper began. But only marginally. Most MPs are sick and tired of being sick and tired. No one said anything unexpected or did much to suggest they had changed their minds. No one wanted to be the person who blinked first. Everyone was now waiting on a miracle. That never came. The opposition benches were full at 10pm for the results of the indicative votes. The government benches were barely half-full. It was only Brexit, after all. Yet again parliament was unable to find anything which for which it was in favour. Seemingly natural allies proved to be deadly enemies, as the remainer purists outdid one another to shoot down the possibility of a soft Brexit. The Life of Brian’s Time’s Arrow once again. The People’s Front of Judea versus the Judean People’s Front. First as farce, then as tragedy. Theresa May seemed amazed. Her deal had the flicker of a pulse. Never let the perfect be the enemy of the wee bit shit. For Nick Boles, enough was enough. Having received almost no support from his own party for his common market 2.0 option, he made an emotional speech in which he resigned the Conservative whip. It was the most effective protest of the day.",Politics
"Corrections and clarifications • The monitoring group Tell Mama is not a charity, as we said in an article. It is a project of Faith Matters, a community interest company (Anti-Muslim hate crimes soar in UK following Christchurch shootings, 23 March, page 5). • We said “Scottish pipe bands” took part in pro-Brexit demonstrations in London last week (Farage’s footsore army arrives to find they still remain in the EU, 30 March, page 8). These were Scottish flute bands. • Other recently corrected articles include: Swindon Honda workers march against factory closure From victory to vengeance: Trump scents blood in 2020 fight As Brexit is delayed, Yorkshire Tories weigh up options for next leader",News
"Morning mail: Reef lobbying, more Brexit votes, Erdoğan challenged Good morning, this is Helen Sullivan bringing you the main stories and must-reads on Tuesday 2 April. Top stories After spending more than two years trying to shed light on Australia’s enormous lobbying effort to prevent the Great Barrier Reef from being listed as “in danger” by Unesco, a legal expert has slammed Australia’s freedom-of-information regime.. A group of Australian and US environmental lawyers had found the dangers to the reef overwhelmingly met the criteria for such a listing, but Australia’s lobbying was ultimately successful. The legal academic, Prof Reece Walters of Deakin University, wanted to understand how far Australia had gone in its taxpayer-funded campaign. He lodged a freedom-of-information request in August 2016 for relevant correspondence but was given heavily redacted documents. Eventually, the information commissioner ordered the authority to disclose more but the information was not what he wanted and years of delays rendered it almost useless. MPs are voting Monday evening UK time on four alternatives to Theresa May’s thrice-rejected Brexit deal, including a customs union and a Norway-style deal, as backbenchers seek to force the government to change course. With 11 days to go until Britain is due to leave the European Union, with or without a deal, the speaker, John Bercow, selected four of the options tabled by MPs for consideration in “indicative votes”. They are a customs union; a “common market 2.0”; a “confirmatory” referendum; and a motion aimed at allowing parliament to prevent a no-deal Brexit. And earlier on Monday, the Brexit debate was disrupted by semi-naked protesters. The Morrison government will use Tuesday’s budget to allow 65 and 66-year-olds to make voluntary superannuation contributions without meeting the current work test. The proposal, to take effect from 2020-21, is part of the government’s efforts to court older voters ahead of the looming federal election, and potentially benefits 55,000 people. (Follow the Guardian politics liveblog from 8am, with full budget coverage from 7.30pm). Meanwhile, Liberal party senator Arthur Sinodinos has broken ranks on the eve of the budget to call for an increase to the Newstart allowance, becoming the first government MP to do so. “Over time it should be higher,” the New South Wales senator told the ABC’s Q&amp;A program. “There is a cost to the budget, there’s an expense. But budgets are all about choices.” Noting he was expressing a “personal view” not government policy, Sinodinos said his position was shared by former prime minister John Howard, who called for a boost to the payment in May last year. He also appeared to question the government’s decision to exclude those on the payment from a budget cash splash that will hand nearly four million welfare recipients a one-off payment to cover energy bills. World Turkish president Recep Tayyip Erdoğan’s grip on Turkey has been challenged by a resurgent opposition in local elections, with his ruling Justice and Development party losing control of Ankara and on track to lose Istanbul, according to unofficial local election results. As former US vice-president Joe Biden faced intense scrutiny of his behaviour towards women, the wife of former defence secretary Ash Carter has dismissed claims that a picture of her with Biden was an example of unwanted touching. Venezuela’s authoritarian leader, Nicolás Maduro, has called on armed pro-government groups to help subdue unrest as he announced a 30-day electricity rationing plan set to inflict further pain on the population. A group of Google employees have called for the removal of a rightwing thinktank leader from the company’s new artificial intelligence council, citing her anti-LGBT and anti-immigrant record. An off-duty Swedish police officer successfully arrested a violent fugitive drug dealer while both men were naked in a Stockholm sauna. “This was about as stripped-back and bare-bones an arrest as it is possible to make, in several senses of the term,” said Christoffer Bohman, the deputy chief of police in the Stockholm suburb of Rinkeby. Opinion and analysis Insects have “no place to hide” from climate change, scientists have said after analysing 50 years’ worth of UK data. The study found that woodlands, whose shade was expected to protect species from warming temperatures, are just as affected by climate change as open grasslands. The research examined records of the first springtime flights of butterflies, moths and aphids, and the first eggs of birds between 1965 and 2012. As average temperatures have risen, aphids are now emerging a month earlier, and birds are laying eggs a week earlier. The scientists said this could mean animals were becoming “out of sync” with their prey, with potentially serious ramifications for ecosystems. Australia’s global leadership on whale conservation will be tested as Japanese hunters move to a different hemisphere, writes Darren Kindleysides. If we go to the polls in May, within a month or so of the next Australian government taking office, Japan will head back out to kill whales in its own waters. What impact this will have on these migratory species isn’t clear but the cruelty of killing and stripping the seas of our ocean giants is beyond dispute. Sport Australia is copying New Zealand’s policy of resting Test players in Super Rugby to ensure they are fresh and fit for the World Cup in Japan. But results at the weekend demonstrated there is a right way and a wrong way for Australian teams to rotate players. After a heavy 4-1 defeat in Wellington last weekend, Newcastle Jets’ outside chances at a finals run are effectively over, locking in this season’s A-League championship contenders. But with a post-season system that rewards over half the teams in the league, which of the six have really earned their place? Thinking time: What’s next for the Murray-Darling? Since Guardian Australia investigated the Murray-Darling a year ago, the health of Australia’s greatest river system and the $13bn plan to save it have been thrust into the centre of the national political debate, writes Anne Davies. The most dramatic warning has been the deaths of hundreds of thousands of fish at Menindee. The deaths of 40 and 50-year-old Murray cod, which survived the millennium drought of the early 2000s but perished this time around, horrified Australians and raised serious questions about the management of the river. There are now marked policy differences between the Coalition and Labor at state and federal level over what should happen next under the plan, though both major parties remain committed to retaining the plan itself. The question is: can the basin plan be reformed – and the remaining $4.5bn be spent constructively – without the key stakeholder states and the farming lobby pulling out of the plan? Media roundup The Australian Financial Review’s front page bears the headline ALP plan reignites carbon wars, and the Daily Telegraph describes the Labor climate plan as Pay as you eat. Josh Frydenberg is on the front pages of the Sydney Morning Herald – Frydenberg under pressure to deliver – the West Australian, the Canberra Times and the Australian, with the Oz’s headline as Coalition defuses debt bomb, in a story revealing that the treasurer “will today declare an end to the debt and deficit disaster the Coalition inherited from Labor six years ago”. The NT News, meanwhile, recounts the death-defying swim made by a feral cat across croc-infested waters, under the headline The little purr-maid. Coming up The federal budget will be handed down in Canberra. Follow the Guardian politics liveblog from 8am, with full budget coverage from 7.30pm. The trial of Sydney doctor Sharif Fattah, who is accused of sexual assault, continues. Feeling experimental? We are testing the Guardian Briefing, an audio news briefing adapted for Google Home devices and the Google Assistant. Using a mix of both human and synthetic voices, the Guardian Briefing brings you the top headlines in under two minutes, and stays up-to-date throughout the day. Give it a try by saying “Hey Google, ask for the Guardian Briefing”. It is compatible with Google Assistant-enabled devices including Google Home speakers and Android/iOS smartphones. iPhone users will need to install the free Google Assistant app. You can find out more about the experiment on the Guardian Voice Lab blog. We’d love to hear what you think – help us to get it right by emailing your thoughts tovoicelab@theguardian.com. Sign up If you would like to receive the Guardian Australia morning mail to your email inbox every weekday, sign up here.",Australia news
"Grand National to feature two female jockeys with Blackmore set to join Kelly Rachael Blackmore is expected to be aboard Valseur Lido in Saturday’s Grand National, making two female jockeys now set to take part in the famous Aintree marathon. Blackmore, who is currently second in the race to be champion jockey in Ireland, will join Lizzie Kelly in the race, Kelly having already been booked to partner Tea For Two. No woman rider has won the National, though Katie Walsh rode the third-placed Seabass in 2012. Valseur Lido is the last remaining National entrant for Henry de Bromhead, for whom Blackmore rides as first jockey, following the withdrawal on Monday of Sub Lieutenant. De Bromhead confirmed Valseur Lido as an intended runner and said: “His form’s a little bit in and out but probably one of his best runs in the last 12 months was in the National last year, so we’re hoping the fences will bring the best out in him. “I thought he was running well at Cheltenham, Rachael was really happy with him and then he made a desperate mistake about five out and that just took him out of the race completely. His third in the Bobbyjo before that was a great run, we were delighted. He’s in great form.” De Bromhead added: “I’m pretty sure Rachael is going to ride; we just haven’t finalised plans.” Speaking for the owners, Gigginstown Stud, Eddie O’Leary said: “The ride on Valseur Lido is Rachael’s if she wants it.” Blackmore had a first tilt at the National last year, on Alpha Des Obeaux, who was tracking the leaders when he fell at the Chair. Valseur Lido was eventually well held in eighth place under Keith Donoghue but he had been a close fourth at the home turn and his stamina may last longer this time, as he has dropped down the weights by 12lb and will appreciate the better ground. The betting market, however, appears to view him as a back-number and he is on offer at 100-1. A variety of different coloured caps will once more be needed to distinguish between the Gigginstown-owned runners, as there are likely to be seven in Saturday’s National. O’Leary said Davy Russell will be on Tiger Roll, maintaining last year’s winning combination. Jack Kennedy is to be offered his pick of the remaining five, Monbeg Notorious, Dounikos, A Toi Phil, General Principle and Blow By Blow. Gordon Elliott, who trains six of Gigginstown’s seven, has a total of 12 horses in the top 40 of the Grand National weights. He has said that Mala Beach needs the ground to be softer than the current “good to soft, good in places” but he may get his wish, as there is rain forecast for Aintree this week. The record for most National runners from a single stable is 10, set by Elliott’s mentor, Martin Pipe, in 2001. Those taken out of the race on Monday included Ms Parfois, who is reported to be lame. Yala Enki was perhaps the most surprising withdrawal. The absence of Daklondike will be a relief to officials, in light of his bad behaviour at the start of last month’s Eider Chase, when he refused to race. There was some official confusion as to the elimination order of horses at the bottom of the weights but it has now been announced that Captain Redbeard is assured of a place in the National line-up, as he is 40th in the list. Bless The Wings had been 40th in the list published earlier on Monday but he now needs one of those above him to be withdrawn in order to get into the race. Joe Farrell, last year’s Scottish National winner, needs two to come out. The hopes of their connections were dented when Warrior’s Tale and Valtor were confirmed as intended runners, following signs that they might run in the Topham on Friday instead.",Sport
